locationID,X,Y
30026016,26.55,15.4
30030016,30.55,15.4
30034016,35,15.4
30034013,35,18.4
30034010,35,22.4
30034007,35,25.9
30038007,39,25.9
30042007,43,25.9
30046007,47,25.9
30050007,51,25.9
30054007,56,25.9
30058007,60,25.9
30062007,64,25.9
30066007,68,25.9
30070007,72,25.9
30070010,72,22.4
30070013,72,18.4
30070016,72,15.4
30070019,72,12.4
30070023,72,7.4
30066023,68,7.4
30062023,64,7.4
30058023,60,7.4
30054023,56,7.4
30050023,51,7.4
30046023,47,7.4
30042023,43,7.4
30038023,39,7.4
30034023,35,7.4
30030023,30.55,7.4
30026023,26.55,7.4
30022023,22.55,7.4
30018023,18.55,7.4
30014023,14.55,7.4
30010023,10.55,7.4
30006023,6.5,7.4
30006019,6.5,12.4
30006016,6.5,15.4
30006013,6.5,18.4
30006010,6.5,22.4
30006007,6.5,25.9
30010007,10.55,25.9
30014007,14.55,25.9
30018007,18.55,25.9
30022007,22.55,25.9
30026007,26.55,25.9
30030007,30.55,25.9
30034019,35,11.4
30050010,51,22.4
30050013,51,18.4
30046010,47,22.4
30046013,47,18.4
30042010,43,22.4
30042013,43,18.4
30038010,39,22.4
30038013,39,18.4
