locationID,38:91:D5:86:CC:E0,38:91:D5:86:CF:20,38:91:D5:86:D1:00,38:91:D5:86:D3:E0,38:91:D5:86:D8:80,74:1F:4A:C8:9D:A0,74:1F:4A:C8:9F:80,74:1F:4A:C8:9F:A0
30006007,-74.0,-84.0,-83.0,-100.0,-100.0,-79.0,-84.0,-100.0
30006010,-79.0,-100.0,-87.0,-100.0,-100.0,-78.0,-85.0,-100.0
30006019,-84.0,-100.0,-100.0,-100.0,-81.0,-100.0,-100.0,-100.0
30006023,-100.0,-100.0,-100.0,-100.0,-75.0,-88.0,-100.0,-100.0
30010007,-70.0,-81.0,-80.0,-100.0,-100.0,-100.0,-82.0,-100.0
30010023,-88.0,-81.0,-100.0,-100.0,-70.0,-91.0,-87.0,-100.0
30014007,-63.0,-81.0,-80.0,-79.0,-100.0,-70.0,-82.0,-77.0
30014023,-89.0,-100.0,-89.0,-100.0,-65.0,-89.0,-100.0,-100.0
30018007,-59.0,-79.0,-81.0,-80.0,-100.0,-71.0,-79.0,-100.0
30018023,-89.0,-100.0,-100.0,-100.0,-66.0,-90.0,-100.0,-100.0
30022007,-59.0,-100.0,-77.0,-78.0,-100.0,-52.0,-100.0,-90.0
30022023,-89.0,-100.0,-91.0,-100.0,-66.0,-88.0,-100.0,-100.0
30026007,-75.0,-100.0,-76.0,-77.0,-78.0,-68.0,-73.0,-100.0
30026016,-92.0,-71.0,-88.0,-100.0,-78.0,-83.0,-67.0,-100.0
30026023,-90.0,-100.0,-92.0,-100.0,-56.0,-83.0,-75.0,-100.0
30030007,-70.0,-64.0,-70.0,-79.0,-79.0,-53.0,-69.0,-77.0
30030016,-92.0,-75.0,-87.0,-100.0,-74.0,-74.0,-62.0,-100.0
30030023,-89.0,-100.0,-94.0,-100.0,-56.0,-80.0,-100.0,-85.0
30034007,-80.0,-100.0,-68.0,-100.0,-71.0,-55.0,-62.0,-81.0
30034010,-86.0,-66.0,-75.0,-100.0,-70.0,-56.0,-60.0,-82.0
30034013,-91.0,-75.0,-79.0,-100.0,-68.0,-74.0,-60.0,-82.0
30034016,-89.0,-72.0,-100.0,-100.0,-66.0,-100.0,-60.0,-100.0
30034019,-93.0,-64.0,-100.0,-100.0,-63.0,-63.0,-65.0,-100.0
30034023,-91.0,-68.0,-100.0,-87.0,-55.0,-81.0,-67.0,-100.0
30038007,-78.0,-62.0,-59.0,-68.0,-76.0,-61.0,-61.0,-72.0
30038010,-89.0,-61.0,-72.0,-85.0,-78.0,-69.0,-49.0,-87.0
30038013,-90.0,-57.0,-73.0,-100.0,-72.0,-68.0,-49.0,-100.0
30038023,-93.0,-61.0,-86.0,-100.0,-45.0,-81.0,-68.0,-87.0
30042007,-85.0,-58.0,-46.0,-68.0,-77.0,-68.0,-58.0,-71.0
30042010,-85.0,-55.0,-63.0,-81.0,-72.0,-73.0,-48.0,-100.0
30042013,-91.0,-52.0,-70.0,-83.0,-74.0,-73.0,-41.0,-81.0
30042023,-100.0,-63.0,-100.0,-86.0,-100.0,-100.0,-64.0,-86.0
30046007,-84.0,-64.0,-54.0,-68.0,-76.0,-56.0,-59.0,-72.0
30046010,-89.0,-51.0,-60.0,-78.0,-75.0,-71.0,-51.0,-83.0
30046013,-88.0,-44.0,-59.0,-79.0,-73.0,-71.0,-43.0,-83.0
30046023,-100.0,-64.0,-87.0,-87.0,-62.0,-89.0,-73.0,-84.0
30050007,-83.0,-64.0,-59.0,-53.0,-76.0,-66.0,-64.0,-71.0
30050010,-89.0,-43.0,-67.0,-77.0,-77.0,-100.0,-52.0,-83.0
30050013,-100.0,-44.0,-71.0,-78.0,-76.0,-73.0,-57.0,-78.0
30050023,-100.0,-69.0,-100.0,-78.0,-100.0,-100.0,-73.0,-83.0
30054007,-84.0,-65.0,-67.0,-57.0,-77.0,-73.0,-69.0,-64.0
30054023,-100.0,-70.0,-88.0,-83.0,-67.0,-89.0,-75.0,-81.0
30058007,-84.0,-100.0,-73.0,-64.0,-100.0,-100.0,-100.0,-70.0
30058023,-100.0,-71.0,-80.0,-100.0,-81.0,-100.0,-100.0,-80.0
30062007,-87.0,-71.0,-74.0,-68.0,-100.0,-73.0,-73.0,-54.0
30062023,-100.0,-72.0,-89.0,-100.0,-72.0,-100.0,-78.0,-77.0
30066007,-86.0,-100.0,-73.0,-69.0,-100.0,-100.0,-100.0,-53.0
30066023,-100.0,-74.0,-86.0,-83.0,-74.0,-89.0,-78.0,-62.0
30070007,-83.0,-72.0,-71.0,-71.0,-100.0,-71.0,-75.0,-55.0
30070010,-81.0,-73.0,-71.0,-70.0,-100.0,-72.0,-76.0,-46.0
30070013,-100.0,-100.0,-86.0,-71.0,-94.0,-100.0,-78.0,-47.0
30070016,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-56.0
30070019,-100.0,-84.0,-88.0,-100.0,-93.0,-100.0,-88.0,-62.0
30070023,-100.0,-73.0,-89.0,-83.0,-77.0,-90.0,-83.0,-62.0
